"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2017","Violence-Related Firearm","1999","232","1811801","12.8","12.2820101287015"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2017","Violence-Related Firearm","1999","430","5332666","8.06","7.98566612131041"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2017","Violence-Related Firearm","1999","70","491780","14.23","14.4478155527388"
"Both Sexes","All Races","","Both","All Ages","1999","2017","Violence-Related Firearm","1999","27726","279040238","9.94","."
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Violence-Related Firearm","2000","723","4451687","16.24","16.14915199692"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Violence-Related Firearm","2000","113","627428","18.01","17.4873806462305"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Violence-Related Firearm","2000","771","5166810","14.92","14.9950599476019"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Violence-Related Firearm","2000","388","2678217","14.49","14.3471952310017"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Violence-Related Firearm","2000","3032","33998767","8.92","9.01143781564869"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Violence-Related Firearm","2000","437","4327788","10.1","10.1531772761997"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Violence-Related Firearm","2000","174","3411714","5.1","5.14934613574248"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2017","Violence-Related Firearm","2000","50","786404","6.36","6.37443573224387"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2017","Violence-Related Firearm","2000","146","571723","25.54","21.862621800287"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2017","Violence-Related Firearm","2000","1668","16047246","10.39","9.98353056515094"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2017","Violence-Related Firearm","2000","1036","8230053","12.59","12.6163444289138"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2017","Violence-Related Firearm","2000","47","1211479","3.88","3.79417928574919"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2017","Violence-Related Firearm","2000","123","1299474","9.47","9.85124876451299"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2017","Violence-Related Firearm","2000","1109","12437888","8.92","8.81025437482304"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Violence-Related Firearm","2000","633","6091392","10.39","10.3169588181025"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Violence-Related Firearm","2000","184","2928046","6.28","6.25263612570296"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Violence-Related Firearm","2000","287","2692681","10.66","10.6860008460875"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Violence-Related Firearm","2000","506","4048831","12.5","12.3438904753604"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Violence-Related Firearm","2000","756","4468879","16.92","16.828962680673"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Violence-Related Firearm","2000","111","1277179","8.69","8.44019798241718"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Violence-Related Firearm","2000","611","5310451","11.51","11.7466054430305"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Violence-Related Firearm","2000","173","6362583","2.72","2.6705823239592"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Violence-Related Firearm","2000","1049","9955146","10.54","10.584403525859"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Violence-Related Firearm","2000","300","4933787","6.08","6.06704399190177"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Violence-Related Firearm","2000","437","2848293","15.34","15.3592958504218"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2017","Violence-Related Firearm","2000","710","5605868","12.67","12.6354558020805"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2017","Violence-Related Firearm","2000","126","903283","13.95","13.9357909738844"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2017","Violence-Related Firearm","2000","158","1713194","9.22","9.17567391748421"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2017","Violence-Related Firearm","2000","331","2018244","16.4","16.5540127922752"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2017","Violence-Related Firearm","2000","75","1240361","6.05","5.93224399353835"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2017","Violence-Related Firearm","2000","326","8430913","3.87","3.92327940118202"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2017","Violence-Related Firearm","2000","280","1820704","15.38","15.4674166384225"
"Both Sexes","All Races","New York","Both","All Ages","1999","2017","Violence-Related Firearm","2000","1064","18998429","5.6","5.53411796037408"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2017","Violence-Related Firearm","2000","1082","8078824","13.39","13.120748236408"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2017","Violence-Related Firearm","2000","40","641183","6.24","6.15822490625621"
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2017","Violence-Related Firearm","2000","844","11363719","7.43","7.3917463616993"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2017","Violence-Related Firearm","2000","426","3453861","12.33","12.3680973933311"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2017","Violence-Related Firearm","2000","370","3430828","10.78","10.5418049540996"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2017","Violence-Related Firearm","2000","1207","12285041","9.82","9.75831420226342"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2017","Violence-Related Firearm","2000","54","1050725","5.14","5.08893573003068"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2017","Violence-Related Firearm","2000","474","4023396","11.78","11.7581581936487"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2017","Violence-Related Firearm","2000","52","755657","6.88","6.95484764174445"
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2017","Violence-Related Firearm","2000","849","5703094","14.89","14.7293935677224"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2017","Violence-Related Firearm","2000","2096","20946049","10.01","10.1787313415164"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2017","Violence-Related Firearm","2000","191","2244210","8.51","9.74806958519117"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2017","Violence-Related Firearm","2000","53","609876","8.69","8.39873860160739"
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2017","Violence-Related Firearm","2000","773","7104354","10.88","10.7977328749223"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2017","Violence-Related Firearm","2000","506","5911104","8.56","8.61803311632416"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2017","Violence-Related Firearm","2000","232","1806977","12.84","12.4742880365129"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2017","Violence-Related Firearm","2000","419","5374133","7.8","7.73774107877949"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2017","Violence-Related Firearm","2000","55","493963","11.13","11.1400789903584"
"Both Sexes","All Races","","Both","All Ages","1999","2017","Violence-Related Firearm","2000","27657","282171936","9.8","."
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Violence-Related Firearm","2001","689","4467634","15.42","15.3311980977995"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Violence-Related Firearm","2001","90","633714","14.2","14.1137120143088"
